x1,y1,sigma1,x2,y2,sigma2
326.195007324,73.4645996094,2.60039997101,326.195007324,73.4645996094,2.60039997101
1295.64001465,70.7473983765,4.86003017426,1295.64001465,70.7473983765,4.86003017426
1383.06005859,71.2657012939,2.88703989983,1383.06005859,71.2657012939,2.88703989983
1392.30004883,71.9113998413,2.59044003487,1392.30004883,71.9113998413,2.59044003487
1442.52001953,70.5027999878,2.03304004669,1442.52001953,70.5027999878,2.03304004669
1465.44995117,70.6411972046,2.51030993462,1465.44995117,70.6411972046,2.51030993462
267.07699585,73.1225967407,5.26499986649,267.07699585,73.1225967407,5.26499986649
295.273010254,74.290397644,2.49425005913,295.273010254,74.290397644,2.49425005913
393.220001221,71.6985015869,4.00308990479,393.220001221,71.6985015869,4.00308990479
545.34197998,71.9983978271,4.2364897728,545.34197998,71.9983978271,4.2364897728
619.546020508,72.314201355,2.25046992302,619.546020508,72.314201355,2.25046992302
665.448974609,72.3707962036,11.1036996841,665.448974609,72.3707962036,11.1036996841
1377.47998047,72.1574020386,2.63654994965,1377.47998047,72.1574020386,2.63654994965
1403.31005859,70.3048019409,2.0212700367,1403.31005859,70.3048019409,2.0212700367
1432.0300293,72.3242034912,2.7598400116,1432.0300293,72.3242034912,2.7598400116
1485.68994141,72.3768005371,2.72214007378,1485.68994141,72.3768005371,2.72214007378
300.843994141,73.3508987427,2.01073002815,300.843994141,73.3508987427,2.01073002815
638.896972656,72.2508010864,5.40638017654,638.896972656,72.2508010864,5.40638017654
1386.73999023,71.6664962769,2.77433991432,1386.73999023,71.6664962769,2.77433991432
228.00100708,73.5201034546,2.44878005981,228.00100708,73.5201034546,2.44878005981
1343.5,73.8143997192,8.28168964386,1343.5,73.8143997192,8.28168964386
1413.2199707,74.4645996094,5.26513004303,1413.2199707,74.4645996094,5.26513004303
282.928985596,76.0442962646,2.10731005669,282.928985596,76.0442962646,2.10731005669
1206.64001465,75.0924987793,10.6623001099,1206.64001465,75.0924987793,10.6623001099
1292.2800293,75.2882995605,9.64554023743,1292.2800293,75.2882995605,9.64554023743
1363.85998535,75.0184020996,5.35633993149,1363.85998535,75.0184020996,5.35633993149
1721.06994629,75.0880966187,41.9104995728,1721.06994629,75.0880966187,41.9104995728
1857.93005371,74.7683029175,42.3572006226,1857.93005371,74.7683029175,42.3572006226
333.324005127,76.0936965942,1.995470047,333.324005127,76.0936965942,1.995470047
361.653991699,75.8647994995,2.61781001091,361.653991699,75.8647994995,2.61781001091
721.99597168,76.3283996582,5.21209001541,721.99597168,76.3283996582,5.21209001541
739.502990723,76.1377029419,9.59519004822,739.502990723,76.1377029419,9.59519004822
1382.48999023,75.5597991943,2.5951499939,1382.48999023,75.5597991943,2.5951499939
1456.33996582,74.5548019409,2.00343990326,1456.33996582,74.5548019409,2.00343990326
1464.5300293,75.5226974487,2.2995300293,1464.5300293,75.5226974487,2.2995300293
1471.81005859,75.7286987305,2.76684999466,1471.81005859,75.7286987305,2.76684999466
1900.29003906,76.3305969238,20.6354999542,1900.29003906,76.3305969238,20.6354999542
1403.77001953,76.9364013672,2.40937995911,1403.77001953,76.9364013672,2.40937995911
1420.42004395,76.7223968506,20.4060001373,1420.42004395,76.7223968506,20.4060001373
1439.15002441,79.0586013794,5.2103099823,1439.15002441,79.0586013794,5.2103099823
288.610992432,78.0887985229,2.51058006287,288.610992432,78.0887985229,2.51058006287
309.727996826,77.68800354,2.46944999695,309.727996826,77.68800354,2.46944999695
645.763000488,78.4088973999,2.87468004227,645.763000488,78.4088973999,2.87468004227
1302.09997559,77.5684967041,9.9414396286,1302.09997559,77.5684967041,9.9414396286
1355.10998535,79.3364028931,10.04529953,1355.10998535,79.3364028931,10.04529953
1360.70996094,78.2288970947,10.4423999786,1360.70996094,78.2288970947,10.4423999786
1396.11999512,77.4194030762,2.66147994995,1396.11999512,77.4194030762,2.66147994995
293.368988037,78.6178970337,2.63068008423,293.368988037,78.6178970337,2.63068008423
388.283996582,79.3328018188,2.63838005066,388.283996582,79.3328018188,2.63838005066
473.540008545,80.6324005127,4.69513988495,473.540008545,80.6324005127,4.69513988495
1336.9699707,78.1974029541,4.16030979156,1336.9699707,78.1974029541,4.16030979156
1409.32995605,79.7052001953,2.04758000374,1409.32995605,79.7052001953,2.04758000374
1624.65002441,78.9919967651,5.59040021896,1624.65002441,78.9919967651,5.59040021896
613.544006348,80.2866973877,5.24221992493,613.544006348,80.2866973877,5.24221992493
727.351013184,80.3429031372,2.83208990097,727.351013184,80.3429031372,2.83208990097
739.067993164,79.8363037109,5.13664007187,739.067993164,79.8363037109,5.13664007187
1326.33996582,79.8890991211,18.327999115,1326.33996582,79.8890991211,18.327999115
1449.70996094,79.9825973511,2.67369008064,1449.70996094,79.9825973511,2.67369008064
1502.25,79.9490966797,2.07452988625,1502.25,79.9490966797,2.07452988625
