x1, y1, sigma1, angle1, t1_x, t1_y, theta1, x2, y2, sigma2, angle2, t2_x, t2_y, theta2
76.5006,349.393,4.65357e+06,76.5527,1,5.18168,147.713,103.936,434.144,3.34285e+06,69.9099,1,5.18168,159.076
927.724,685.717,1.14691e+07,92.6594,1,5.18168,22.7251,916.754,664.978,1.66467e+07,84.2497,1,5.18168,45.4502
140.019,1043.23,5.30893e+06,57.8161,1,2.61757,91.2222,166.335,1059.67,9.63431e+06,64.6747,1,2.61757,91.2222
952.763,685.887,6.75098e+06,90.8611,1,5.18168,45.4502,931.572,660.768,1.02894e+07,91.5291,1,2.61757,22.8056
221.472,686.566,8.52045e+06,275.467,1,5.18168,113.626,1413.98,1765,9.04499e+06,99.5165,1,2.61757,159.639
360.961,1494.4,7.93037e+06,109.068,1,5.18168,22.7251,364.322,1458.41,1.07484e+07,118.994,1,5.18168,0
1548,441.253,6.42278e+06,258.659,1,2.61757,0,1850.92,165.82,8.78234e+06,129.129,1,2.61757,68.4167
469.447,1250.83,7.60294e+06,133.78,1,1,0,1738.16,799.548,5.76768e+06,19.231,1,2.61757,136.833
436.557,1252.24,1.43532e+07,98.5285,1,5.18168,102.263,985.47,757.01,5.30944e+06,113.281,1,2.61757,68.4167
126.226,1253.36,3.73581e+06,147.746,1,1,0,379.73,1819.77,1.38947e+07,47.4095,1,1,0
379.289,1499.32,1.23866e+07,89.409,1,2.61757,68.4167,417.701,1515.25,1.12724e+07,87.2436,1,2.61757,68.4167
464.201,607.638,918527,95.5238,1,5.18168,34.0877,1366.33,1970.46,3.93267e+06,258.133,1,2.61757,68.4167
237.825,76.1453,1.20594e+07,254.459,1,5.18168,68.1753,395.171,1535.54,4.19533e+06,80.9529,1,5.18168,68.1753
593.478,1044.8,3.21178e+06,307.431,1,1,0,1579.79,1098.33,8.38912e+06,152.916,1,1,0
1371.29,490.538,9.43795e+06,299.805,1,1,0,1415.41,505.934,1.83603e+06,308.308,1,1,0
471.761,1498.86,2.03213e+06,138.537,1,2.61757,159.639,514.556,1520.92,1.10758e+07,130.181,1,2.61757,159.639
